Summary,Start Time,End Time,Location
Segurança em Sistemas de Informação - Information Systems Security,Thu Feb 23 13:00:00 WET 2023,Thu Feb 23 14:30:00 WET 2023,"Auditório 2, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Oct 24 13:00:00 WEST 2022,Mon Oct 24 14:30:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Mon Nov 14 13:00:00 WET 2022,Mon Nov 14 14:30:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Agentes Autónomos - Autonomous Agents,Tue Nov 29 13:00:00 WET 2022,Tue Nov 29 14:30:00 WET 2022,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Oct 10 16:00:00 WEST 2022,Mon Oct 10 17:30:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Wed Nov 09 16:00:00 WET 2022,Wed Nov 09 17:30:00 WET 2022,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri Apr 14 14:30:00 WEST 2023,Fri Apr 14 16:00:00 WEST 2023,"C6.10, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon Feb 27 14:30:00 WET 2023,Mon Feb 27 16:00:00 WET 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Processamento de Informação - Information Processing,Fri Sep 23 16:00:00 WEST 2022,Fri Sep 23 17:30:00 WEST 2022,"Auditório 1, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Tue May 02 16:00:00 WEST 2023,Tue May 02 17:30:00 WEST 2023,"Auditório 0NE03 - Mário Murteira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed Apr 26 16:00:00 WEST 2023,Wed Apr 26 17:30:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Dec 13 13:00:00 WET 2022,Tue Dec 13 14:30:00 WET 2022,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Oct 24 16:00:00 WEST 2022,Mon Oct 24 17:30:00 WEST 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Segurança em Sistemas de Informação - Information Systems Security,Thu Apr 27 11:00:00 WEST 2023,Thu Apr 27 12:30:00 WEST 2023,"D1.01, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed Apr 19 13:00:00 WEST 2023,Wed Apr 19 14:30:00 WEST 2023,"C2.01, 2, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Dec 14 13:00:00 WET 2022,Wed Dec 14 14:30:00 WET 2022,"2E10, 2, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Fri May 12 14:30:00 WEST 2023,Fri May 12 16:00:00 WEST 2023,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Sep 27 16:00:00 WEST 2022,Tue Sep 27 17:30:00 WEST 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
